업체회원ID,상호명,주소,업태명,소재지전화번호,테이블정보,메뉴정보,운영시간정보
null,대청가든,서울특별시 강남구 개포동 13-3 미씨860오피스텔1층122호 ,한식,  02-3413-5566,null,null,null
null,원조닭칼국수,서울특별시 강남구 개포동 1193-7 지상1층 ,분식,  02-3461-4424,null,null,null
null,원조본점닭한마리,서울특별시 강남구 개포동 1193-7 ,한식,  02-3461-4422,null,null,null
null,논골집,서울특별시 강남구 개포동 1197 지상1층 ,한식,  02-3461-7071,null,null,null
null,흙향,서울특별시 강남구 개포동 1197-2 지상2층 ,한식,  02-3495-0092,null,null,null
null,리엔,서울특별시 강남구 개포동 1214-1,8 지상1층 ,중국식,  02- 576-4888,null,null,null
null,밀란,서울특별시 강남구 개포동 1215-0 지상1층101호 ,한식,  02- 507-1080,null,null,null
null,황금돼지,서울특별시 강남구 개포동 1216-10 ,한식,  02- 577-6667,null,null,null
null,원조소금구이,서울특별시 강남구 개포동 1218-3 광림빌딩 1층 ,한식,null,null,null,null
null,춘천명물닭갈비,서울특별시 강남구 개포동 1231-6 ,한식,null,null,null,null
null,금홍짬뽕,서울특별시 강남구 논현동 10-5 ,중국식,null,null,null,null
null,김수사,서울특별시 강남구 논현동 4-19 ,일식,  02-0547-5221,null,null,null
null,신사뻘낙지,서울특별시 강남구 논현동 4-7 지상1층 ,한식,  02-3448-3392,null,null,null
null,한성국수,서울특별시 강남구 논현동 62-13 ,분식,  02-0544-0540,null,null,null
null,봉산집,서울특별시 강남구 논현동 62-3 지상1층 ,일식,null,null,null,null
null,마포숯불갈비,서울특별시 강남구 논현동 62-6 ,한식,  02- 516-1522,null,null,null
null,불이아,서울특별시 강남구 논현동 71-2 건설회관지하1층 ,중국식,  02 -517 -6689,null,null,null
null,음악살롱,서울특별시 강남구 논현동 88-5 ,경양식,null,null,null,null
null,논현감자탕,서울특별시 강남구 논현동 90-6 ,한식,null,null,null,null
null,한우리외식산업(주),서울특별시 강남구 논현동 91-18 ,한식,  02- 545-3336,null,null,null
null,한서외식산업(주),서울특별시 강남구 논현동 91-4 지하1층,지상3,4,5층 ,한식,  02-0545-3334,null,null,null
null,배정철 어도,서울특별시 강남구 논현동 98-12 ,일식,null,null,null,null
null,제주서부두식당,서울특별시 강남구 논현동 115-25 ,한식,  02-3446-6962,null,null,null
null,차숙이 갈비,서울특별시 강남구 논현동 121 ,한식,  02-548 -9757,null,null,null
null,주식회사 원강,서울특별시 강남구 논현동 122-18 1층 ,한식,  02-3445-1598,null,null,null
null,마장동박현규(주) 1호점,서울특별시 강남구 논현동 122-25 새호시티라이프빌딩 ,한식,null,null,null,null
null,두릉도원 북촌순두부,서울특별시 강남구 논현동 122-8 동화히스토리 1층 ,한식,  02-565 -2792,null,null,null
null,유장원보쌈,서울특별시 강남구 논현동 129-4 지상1,2층 ,한식,  02-0516-5625,null,null,null
null,김태준의 탕탕집,서울특별시 강남구 논현동 141-15 ,한식,  02-511-3235,null,null,null
null,토담김치찌개,서울특별시 강남구 논현동 141-16 ,한식,null,null,null,null
null,취영루,서울특별시 강남구 논현동 141-2 ,중국식,  02- 511-6666,null,null,null
null,육갑식당,서울특별시 강남구 논현동 141-7 세일빌딩 1층 102호 ,한식,  02- 514 -5837,null,null,null
null,해랑,서울특별시 강남구 논현동 183-0 지하1층 ,한식,  02- 544-7270,null,null,null
null,남서울민물장어,서울특별시 강남구 논현동 204-3 ,한식,  02- 544-1010,null,null,null
null,토담골,서울특별시 강남구 논현동 236-4 태양빌딩 ,한식,  02- 548-5121,null,null,null
null,단스시(논현점),서울특별시 강남구 논현동 238-0 지상2층 ,일식,  02-3445-1114,null,null,null
null,델마르,서울특별시 강남구 논현동 248-7 지상1층 ,경양식,  02-3440-8233,null,null,null
null,훼밀리아,서울특별시 강남구 논현동 248-7 ,뷔페식,  02- 511-4000,null,null,null
null,크래버대게나라,서울특별시 강남구 논현동 261 지상1층 1호,한식,null,null,null,null
null,(주)아리양,서울특별시 강남구 논현동 277-20 지상1층 ,한식,null,null,null,null
null,명동관,서울특별시 강남구 대치동 500-0 센트럴500지하1층103,104호 ,한식,  02- 563-8882,null,null,null
null,씨제이푸드빌(주)빕스도곡역점,서울특별시 강남구 대치동 500-0 센트럴500상가지하1층 ,경양식,  02- 569-1997,null,null,null
null,엠브이샤브샤브,서울특별시 강남구 대치동 507-0 원플러스상가지하1층105,106호 ,한식,  02- 561-7573,null,null,null
null,대치골정육점식당. 풍천민물장어,서울특별시 강남구 대치동 623 남서울상가 2층 ,한식,null,null,null,null
null,마산아구찜,서울특별시 강남구 대치동 628-0 지상2층 ,한식,  02- 556-2945,null,null,null
null,(유)아웃백스테이크하우스코리아 도곡점,서울특별시 강남구 대치동 651-0 지하1층 ,경양식,  02-3019-7112,null,null,null
null,삼다도,서울특별시 강남구 대치동 890-49 ,일식,  02- 508-3390,null,null,null
null,나무(대치점),서울특별시 강남구 대치동 890-45 ,한식,null,null,null,null
null,하동관 강남분점,서울특별시 강남구 대치동 891-44 지상2층 ,한식,  02- 565-3355,null,null,null
null,의령전원 투,서울특별시 강남구 대치동 891-51 지상2층 ,일식,null,null,null,null
null,반룡산,서울특별시 강남구 대치동 894-4 지상1층 ,경양식,null,null,null,null
null,진대감,서울특별시 강남구 대치동 895-11 지상1층 ,한식,null,null,null,null
null,청자골,서울특별시 강남구 대치동 901-71 지상1층 ,한식,null,null,null,null
null,남산희래등,서울특별시 강남구 대치동 903-3 ,중국식,  02- 562-5296,null,null,null
null,강남수랏간,서울특별시 강남구 대치동 908-5 지상1층2층 ,한식,  02- 567-5123,null,null,null
null,최가네버섯매운탕칼국수,서울특별시 강남구 대치동 936-16 ,일식,  02- 538-2323,null,null,null
null,창포,서울특별시 강남구 대치동 936-18 ,한식,  02- 501-0155,null,null,null
null,용수사,서울특별시 강남구 대치동 942-5 지상2층 ,일식,  02-567 -1516,null,null,null
null,놀부보쌈과 부대찌게 삼성1호,서울특별시 강남구 대치동 947-1 ,한식,  02- 557-3848,null,null,null
null,하이보,서울특별시 강남구 대치동 950-1 지상2층 ,중국식,null,null,null,null
null,대한민국,서울특별시 강남구 대치동 950-2 ,한식,  02- 561-6320,null,null,null
null,군산회집,서울특별시 강남구 대치동 968-2 지상1,2층 ,일식,  02-0557-1843,null,null,null
null,더라운지,서울특별시 강남구 대치동 995-14 지상22,23층 ,경양식,  02- 501-5487,null,null,null
null,코너스톤,서울특별시 강남구 대치동 995-14 지상1층 ,경양식,  02- 501-5487,null,null,null
null,더팀버하우스,서울특별시 강남구 대치동 995-14 지하2층 ,경양식,  02- 501-5487,null,null,null
null,김셰프의 도시어부,서울특별시 강남구 대치동 996-0 ,일식,  02-0564-3377,null,null,null
null,임고집 한우＆보쌈마을,서울특별시 강남구 대치동 996-12 지상1층 ,한식,null,null,null,null
null,임고집 한우＆보쌈마을(2호점),서울특별시 강남구 대치동 996-12 2층 ,한식,  02-567-2772,null,null,null
null,(주)중앙해장,서울특별시 강남구 대치동 996-16 ,한식,null,null,null,null
null,거제지심도,서울특별시 강남구 대치동 997-9 삼호빌딩지상1층 ,일식,null,null,null,null
null,홍영재 장수 청국장,서울특별시 강남구 대치동 1001 지상1층 ,한식,null,null,null,null
null,등대,서울특별시 강남구 대치동 1006-0 지상1층 ,한식,  02- 562-0505,null,null,null
null,방이샤브칼국수,서울특별시 강남구 대치동 1019-12 ,분식,null,null,null,null
null,(주)아구본가첨벙대치,서울특별시 강남구 대치동 1023-3 지상2층 ,한식,  02-538 -0104,null,null,null
null,진가샤브샤브,서울특별시 강남구 대치동 1023-3 지상4층 ,한식,null,null,null,null
null,한티옥,서울특별시 강남구 대치동 1024-4 강원빌딩 지상1층 ,한식,  02-552 -5289,null,null,null
null,청국장과보리밥,서울특별시 강남구 도곡동 411-20 지상2층 ,한식,null,null,null,null
null,사리원,서울특별시 강남구 도곡동 411-5 ,한식,  02-0573-2202,null,null,null
null,평양면옥,서울특별시 강남구 도곡동 423-15 ,한식,  02-0571-1666,null,null,null
null,홀리차우 도곡점,서울특별시 강남구 도곡동 464-0 지상1층 ,중국식,  02- 556-4502,null,null,null
null,(주)타워차이,서울특별시 강남구 도곡동 467-29 타워팰리스스포츠클럽지상1층 ,중국식,null,null,null,null
null,(주)도곡본점 해우리,서울특별시 강남구 도곡동 942-1 꿈이룸 명진타워 ,한식,  02-501 -4997,null,null,null
null,무화잠,서울특별시 강남구 도곡동 943 뱅뱅빌딩 ,한식,null,null,null,null
null,남순남순대국 본점,서울특별시 강남구 도곡동 945-2 ,한식,  02-574 -3227,null,null,null
null,금강수림,서울특별시 강남구 도곡동 953-1 양재SK허브프리모 지하2층 ,한식,  02-577-9992,null,null,null
null,잰부닥,서울특별시 강남구 도곡동 954-13 지상1층 ,한식,  02- 577-5046,null,null,null
null,답다(DAPDA),서울특별시 강남구 도곡동 955-7 ,한식,null,null,null,null
null,신촌설렁탕 강남구청역점,서울특별시 강남구 삼성동 1-4 지하1층 ,한식,  02- 545-1551,null,null,null
null,차이나타운,서울특별시 강남구 삼성동 38-18 수목빌딩 지상1층 A동 103호,중국식,  02- 539-3222,null,null,null
null,스시히로바,서울특별시 강남구 삼성동 70 블래스톤리조트 ,일식,  02- 515-5511,null,null,null
null,오발탄(주)오발탄에프에스,서울특별시 강남구 삼성동 71-14 지상1,2층 ,한식,  02- 543-8656,null,null,null
null,주식회사곰바우,서울특별시 강남구 삼성동 76-10 ,한식,  02- 549-7513,null,null,null
null,지호한방삼계탕,서울특별시 강남구 삼성동 76-13 ,한식,  02- 512-7283,null,null,null
null,일공,서울특별시 강남구 삼성동 101-9 ,중국식,null,null,null,null
null,삼환,서울특별시 강남구 삼성동 107-5 외2필지 ,한식,  02- 546-2429,null,null,null
null,수담,서울특별시 강남구 삼성동 113-0 에이치에스타워 지하1층 1호,한식,null,null,null,null
null,홍백,서울특별시 강남구 삼성동 119-9 지상1,2층 ,한식,null,null,null,null
null,대도식당,서울특별시 강남구 삼성동 127-3 ,한식,  02 - 561-2283,null,null,null
null,해초록 사랑,서울특별시 강남구 삼성동 127-8 지하1층 ,일식,  02-553-5570,null,null,null
null,시골진지상,서울특별시 강남구 삼성동 127-9 ,한식,  02- 555-3448,null,null,null
